domain,company_name,health_score,verdict,sector,total_signals,it_infrastructure_score,it_infrastructure_tier,it_infrastructure_budget,it_infrastructure_signals,engineering_product_score,engineering_product_tier,engineering_signals,sales_marketing_score,sales_marketing_tier,sales_marketing_signals,legal_compliance_score,legal_compliance_tier,legal_signals,hr_hiring_score,hr_hiring_signals,finance_revops_score,telecom_remote_score,corporate_dev_score,last_checked,trace_url
thetradedesk.com,Trade Desk Inc,83,at_risk,general,11,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Business Email Provider,88,Enterprise,Moderate Infrastructure Footprint,100,Enterprise,IPO Signal (External Intel),90,Enterprise,Verified Vendor Spend,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=thetradedesk.com
speckle.systems,Speckle,83,at_risk,general,14,100,Enterprise,Active,DMARC Fully Enforced | Verified SaaS Tooling | Modern CDN | Business Email Provider,98,Enterprise,Actively Shipping | Moderate Infrastructure Footprint | Public Status Page Active,100,Enterprise,Active Advertising | Growth Analytics Stack,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=speckle.systems
bakertilly.com,Baker Tilly,83,at_risk,general,10,100,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | DMARC Fully Enforced,98,Enterprise,High Shipping Velocity | Rich Internal Infrastructure,,Unknown,—,98,Enterprise,Verified Vendor Spend | Basic Trust Center,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=bakertilly.com
3cloudsolutions.com,3Cloud,83,at_risk,general,17,100,Enterprise,Active,Verified SaaS Tooling | DMARC Quarantine | Modern CDN | Business Email Provider | Web Application Firewall,99,Enterprise,Rich Internal Infrastructure | Actively Shipping | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,92,Enterprise,Active Advertising,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=3cloudsolutions.com
reach.security,Reach,83,at_risk,cybersecurity,17,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Modern CDN | Business Email Provider | Web Application Firewall,82,Enterprise,App Recently Updated,98,Enterprise,Premium SaaS Stack | Recent Funding (External Intel) | Active Advertising | Funding Velocity,90,Enterprise,Verified Vendor Spend,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=reach.security
cbinsights.com,CB Insights,82,at_risk,general,17,95,Enterprise,Active,Enterprise CDN/WAF | DMARC Quarantine | Business Email Provider,99,Enterprise,Rich Internal Infrastructure | Actively Shipping | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,92,Enterprise,Active Advertising,99,Enterprise,ATS Integration Verified | Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=cbinsights.com
benivo.com,Benivo Limited,82,at_risk,general,16,100,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Modern CDN | Business Email Provider,97,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,92,Enterprise,Active Advertising,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=benivo.com
sosafe-awareness.com,Sosafe,82,at_risk,general,17,100,Enterprise,Active,Verified SaaS Tooling | DMARC Quarantine | Modern CDN | Business Email Provider | Web Application Firewall,97,Enterprise,Rich Internal Infrastructure | App Recently Updated | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,100,Enterprise,Active Advertising | Growth Analytics Stack,98,Enterprise,Verified Vendor Spend | Basic Trust Center,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=sosafe-awareness.com
statsig.com,Statsig,82,at_risk,cloud_infra,15,100,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Business Email Provider,92,Enterprise,Mature Engineering Infrastructure | Moderate Infrastructure Footprint | Public Status Page Active,95,Enterprise,IPO Signal (External Intel) | Active Advertising,50,Growth,—,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=statsig.com
sentilink.com,Sentilink,82,at_risk,general,16,100,Enterprise,Active,Verified SaaS Tooling | DMARC Quarantine | Modern CDN | Business Email Provider,95,Enterprise,Mature Engineering Infrastructure | Moderate Infrastructure Footprint | Public Status Page Active,92,Enterprise,Active Advertising,99,Enterprise,Verified Vendor Spend | SOC 2 Compliance | Basic Trust Center,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=sentilink.com
aob.com,American Outdoor Brands Inc,82,actively_hiring,general,16,100,Enterprise,Active,Enterprise Email Gateway | DMARC Quarantine | Verified SaaS Tooling,76,Enterprise,App Recently Updated,100,Enterprise,Stable URL Structure,50,Growth,—,50,—,,100,100,2026-03-25,https://www.thesubspace.io/trace?domain=aob.com
doppler.com,Doppler,82,at_risk,cybersecurity,17,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Modern CDN | Business Email Provider,96,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | Public Status Page Active,97,Enterprise,Heavy Ad Spend | Premium SaaS Stack,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=doppler.com
autohive.com,Autohive,82,at_risk,general,18,100,Enterprise,Active,DMARC Fully Enforced | Enterprise CDN/WAF | Verified SaaS Tooling | Business Email Provider | Web Application Firewall,97,Enterprise,App Recently Updated | Moderate Infrastructure Footprint | Public Status Page Active,94,Enterprise,Active Advertising | Rich Third-Party Integration,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance | HIPAA Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=autohive.com
healthsherpa.com,Healthsherpa,82,at_risk,general,15,100,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Business Email Provider,97,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,,Unknown,—,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance | HIPAA Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=healthsherpa.com
cherre.com,Cherre,82,actively_hiring,general,16,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Business Email Provider | Enterprise Email Platform,85,Enterprise,Moderate Infrastructure Footprint | Public Status Page Active,100,Enterprise,Stable URL Structure,92,Enterprise,Verified Vendor Spend,50,—,,50,100,2026-03-25,https://www.thesubspace.io/trace?domain=cherre.com
poshmark.com,Poshmark,82,at_risk,ecommerce,15,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Enterprise CDN/WAF | Business Email Provider,97,Enterprise,App Recently Updated | Moderate Infrastructure Footprint | Public Status Page Active,100,Enterprise,Heavy Ad Spend | Enterprise Analytics Stack,95,Enterprise,ATS Integration Verified | Verified Vendor Spend,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=poshmark.com
cubesoftware.com,Cubesoftware,82,at_risk,general,16,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Modern CDN | Business Email Provider,93,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | Public Status Page Active,92,Enterprise,Active Advertising,99,Enterprise,Verified Vendor Spend | SOC 2 Compliance | Basic Trust Center,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=cubesoftware.com
90seconds.com,90 Seconds,82,at_risk,general,16,100,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,98,Enterprise,Actively Shipping | Moderate Infrastructure Footprint | Public Status Page Active,92,Enterprise,Active Advertising,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=90seconds.com
slgreen.com,SL Green Realty Corp,82,at_risk,general,17,100,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | DMARC Fully Enforced | Modern CDN | Web Application Firewall,97,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,92,Enterprise,Active Advertising,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=slgreen.com
testrigor.com,testRigor,82,at_risk,general,17,100,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,98,Enterprise,High Shipping Velocity | Moderate Infrastructure Footprint | Public Status Page Active,92,Enterprise,Active Advertising,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance | HIPAA Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=testrigor.com
gadget.dev,Gadget,82,at_risk,general,16,100,Enterprise,Active,DMARC Fully Enforced | Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,98,Enterprise,High Shipping Velocity | Moderate Infrastructure Footprint | Public Status Page Active,100,Enterprise,Enterprise Analytics Stack | Active Advertising | Rich Third-Party Integration,90,Enterprise,Verified Vendor Spend,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=gadget.dev
withorb.com,Orb,82,at_risk,cloud_infra,16,100,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Modern CDN | Business Email Provider,98,Enterprise,Rich Internal Infrastructure | App Recently Updated | Mature Engineering Infrastructure | Public Status Page Active,92,Enterprise,Active Advertising,99,Enterprise,Verified Vendor Spend | SOC 2 Compliance | Basic Trust Center,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=withorb.com
adquick.com,AdQuick,82,at_risk,general,13,100,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Business Email Provider,97,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,,Unknown,—,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=adquick.com
7tech.com,7tech,82,at_risk,general,17,100,Enterprise,Active,DMARC Fully Enforced | Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,97,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,100,Enterprise,Heavy Ad Spend | Enterprise Analytics Stack,90,Enterprise,Verified Vendor Spend,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=7tech.com
astronomer.io,Astronomer,82,at_risk,cloud_infra,17,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Modern CDN | Business Email Provider,95,Enterprise,Mature Engineering Infrastructure | Moderate Infrastructure Footprint | Public Status Page Active,96,Enterprise,Premium SaaS Stack | Active Advertising,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=astronomer.io
axur.com,Axur,82,at_risk,general,13,100,Enterprise,Active,DMARC Fully Enforced | Enterprise CDN/WAF | Verified SaaS Tooling | Business Email Provider,88,Enterprise,Moderate Infrastructure Footprint,100,Enterprise,Active Advertising | Growth Analytics Stack,98,Enterprise,Verified Vendor Spend | Basic Trust Center,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=axur.com
vapi.ai,Vapi,82,at_risk,general,16,100,Enterprise,Active,DMARC Fully Enforced | Verified SaaS Tooling | Modern CDN | Business Email Provider,93,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | Public Status Page Active,100,Enterprise,Heavy Ad Spend | Growth Analytics Stack,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=vapi.ai
dosespot.com,Dosespot,82,at_risk,general,18,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Modern CDN | Business Email Provider | Web Application Firewall,94,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,92,Enterprise,Active Advertising,99,Enterprise,Verified Vendor Spend | SOC 2 Compliance | Basic Trust Center,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=dosespot.com
pagerduty.com,Pagerduty,82,at_risk,cloud_infra,17,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Modern CDN | Business Email Provider | Web Application Firewall,100,Enterprise,Rich Internal Infrastructure | App Recently Updated | Actively Shipping | Mature Engineering Infrastructure | SSO Infrastructure Detected,87,Enterprise,Enterprise Analytics Stack,98,Enterprise,Verified Vendor Spend | Basic Trust Center,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=pagerduty.com
chargerlogistics.com,Charger Logistics Inc,82,actively_hiring,general,30,98,Enterprise,Active,Enterprise Email Gateway | Enterprise Email Security Gateway | DMARC Quarantine | Fast TTFB | Modern CDN,91,Enterprise,Rich .well-known Configuration | Apple Pay Merchant Association | Mobile App Deep Linking (iOS + Android) | Moderate Infrastructure Footprint | Security Disclosure Policy,90,Enterprise,Active Advertising | Stable URL Structure,75,Enterprise,Trust Page Present,50,—,50,100,100,2026-03-25,https://www.thesubspace.io/trace?domain=chargerlogistics.com
nursa.com,Nursa,82,at_risk,general,16,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Modern CDN | Business Email Provider | Web Application Firewall,95,Enterprise,App Recently Updated | Moderate Infrastructure Footprint,100,Enterprise,Enterprise Analytics Stack | Active Advertising | Rich Third-Party Integration,99,Enterprise,Verified Vendor Spend | SOC 2 Compliance | Basic Trust Center,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=nursa.com
horizon3.ai,Horizon3ai,82,at_risk,general,15,100,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | DMARC Fully Enforced | Modern CDN | Web Application Firewall,100,Enterprise,High Shipping Velocity | App Recently Updated | Moderate Infrastructure Footprint | Public Status Page Active,100,Enterprise,Active Advertising | Growth Analytics Stack,75,Enterprise,Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=horizon3.ai
datadoghq.com,Datadog Inc,82,at_risk,general,19,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Enterprise CDN/WAF | Business Email Provider,97,Enterprise,Rich Internal Infrastructure | App Recently Updated | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,96,Enterprise,Premium SaaS Stack | Active Advertising,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance | HIPAA Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=datadoghq.com
gitbook.com,Gitbook,82,at_risk,cloud_infra,16,100,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,98,Enterprise,Rich Internal Infrastructure | App Recently Updated | Mature Engineering Infrastructure | Public Status Page Active,100,Enterprise,Active Advertising | Growth Analytics Stack,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=gitbook.com
procurementsciences.com,Procurementsciences,82,at_risk,general,15,100,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,98,Enterprise,Actively Shipping | Moderate Infrastructure Footprint,92,Enterprise,Active Advertising,99,Enterprise,Verified Vendor Spend | SOC 2 Compliance | Basic Trust Center,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=procurementsciences.com
readme.com,Readme,82,at_risk,cloud_infra,16,100,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,95,Enterprise,Mature Engineering Infrastructure | Moderate Infrastructure Footprint | Public Status Page Active,100,Enterprise,Active Advertising | Growth Analytics Stack,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=readme.com
nabla.com,Nabla,82,at_risk,general,19,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Modern CDN | Business Email Provider | Web Application Firewall,95,Enterprise,Mature Engineering Infrastructure | Moderate Infrastructure Footprint | Public Status Page Active,94,Enterprise,Active Advertising | Rich Third-Party Integration,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance | HIPAA Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=nabla.com
teamdynamix.com,Teamdynamix,82,at_risk,general,17,100,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,97,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,92,Enterprise,Active Advertising,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=teamdynamix.com
carrot.com,Carrot Fertility,82,at_risk,general,16,97,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Business Email Provider,98,Enterprise,Rich Internal Infrastructure | App Recently Updated | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,100,Enterprise,Active Advertising | Growth Analytics Stack,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=carrot.com
cloudinary.com,Cloudinary,82,at_risk,cloud_infra,18,100,Enterprise,Active,Verified SaaS Tooling | DMARC Quarantine | Modern CDN | Business Email Provider | Web Application Firewall,97,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,96,Enterprise,Premium SaaS Stack | Active Advertising,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=cloudinary.com
arkoselabs.com,Arkose Labs,82,at_risk,general,16,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Enterprise CDN/WAF | Business Email Provider,93,Enterprise,Moderate Infrastructure Footprint | Public Status Page Active,96,Enterprise,Premium SaaS Stack | Active Advertising,99,Enterprise,ATS Integration Verified | Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=arkoselabs.com
withluminary.com,Luminary,82,at_risk,general,18,100,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,98,Enterprise,Rich Internal Infrastructure | App Recently Updated | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,92,Enterprise,Active Advertising,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=withluminary.com
easygenerator.com,Easygenerator,82,at_risk,general,15,100,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,98,Enterprise,Actively Shipping | Moderate Infrastructure Footprint | Public Status Page Active,94,Enterprise,Heavy Ad Spend,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=easygenerator.com
bugcrowd.com,Bugcrowd,82,at_risk,general,15,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Enterprise CDN/WAF | Business Email Provider,84,Enterprise,Actively Shipping,100,Enterprise,Premium SaaS Stack | Enterprise Analytics Stack | Active Advertising,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=bugcrowd.com
assured.com,Assured,82,at_risk,general,18,100,Enterprise,Active,Verified SaaS Tooling | Modern CDN | Business Email Provider,87,Enterprise,App Recently Updated,79,Enterprise,Government Contracts (USAspending) | SEC Public Filer,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance | HIPAA Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=assured.com
upstart.com,Upstart,82,at_risk,general,13,100,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | DMARC Fully Enforced,98,Enterprise,App Recently Updated | SSO Infrastructure Detected | Moderate Infrastructure Footprint | Public Status Page Active,,Unknown,—,99,Enterprise,ATS Integration Verified | Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=upstart.com
progress.com,Progress Software Corp,82,at_risk,general,19,100,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | DMARC Quarantine | Modern CDN | Web Application Firewall,97,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,92,Enterprise,Active Advertising,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance | HIPAA Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=progress.com
verrica.com,Verrica Pharmaceuticals Inc,82,actively_hiring,general,23,87,Enterprise,Active,Enterprise Email Gateway | Enterprise Email Security Gateway | DMARC Quarantine | Mature Security Posture | ⚠ Slow TTFB,50,Growth,—,95,Enterprise,Active Advertising | Stable URL Structure,90,Enterprise,Verified Vendor Spend,50,—,,100,100,2026-03-25,https://www.thesubspace.io/trace?domain=verrica.com
lilt.com,Lilt Corporate,82,at_risk,general,17,100,Enterprise,Active,DMARC Fully Enforced | Enterprise CDN/WAF | Verified SaaS Tooling | Business Email Provider,93,Enterprise,Moderate Infrastructure Footprint | Public Status Page Active,96,Enterprise,Premium SaaS Stack | Active Advertising,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance | HIPAA Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=lilt.com
mightycall.com,MightyCall,82,at_risk,general,15,100,Enterprise,Active,Verified SaaS Tooling | Enterprise CDN/WAF | DMARC Quarantine | Business Email Provider,97,Enterprise,App Recently Updated | Moderate Infrastructure Footprint | Public Status Page Active,92,Enterprise,Active Advertising,99,Enterprise,Verified Vendor Spend | Basic Trust Center | HIPAA Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=mightycall.com
curiositystream.com,CuriosityStream Inc,82,at_risk,general,13,100,Enterprise,Active,Verified SaaS Tooling | Enterprise CDN/WAF | DMARC Quarantine | Business Email Provider,98,Enterprise,Rich Internal Infrastructure | Actively Shipping,92,Enterprise,Active Advertising,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=curiositystream.com
vendelux.com,Vendelux,82,at_risk,general,15,100,Enterprise,Active,Verified SaaS Tooling | DMARC Quarantine | Modern CDN | Business Email Provider | Web Application Firewall,88,Enterprise,Moderate Infrastructure Footprint,92,Enterprise,Active Advertising,99,Enterprise,Verified Vendor Spend | SOC 2 Compliance | Basic Trust Center,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=vendelux.com
bigid.com,BigID,82,at_risk,cybersecurity,17,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Enterprise CDN/WAF | Business Email Provider | Web Application Firewall,95,Enterprise,Mature Engineering Infrastructure | Moderate Infrastructure Footprint | Public Status Page Active,92,Enterprise,Active Advertising,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | HIPAA Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=bigid.com
mosaic.pe,Mosaic,82,at_risk,general,15,100,Enterprise,Active,Verified SaaS Tooling | Enterprise CDN/WAF | DMARC Quarantine | Business Email Provider,97,Enterprise,App Recently Updated | Moderate Infrastructure Footprint | Public Status Page Active,92,Enterprise,Active Advertising,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=mosaic.pe
alchemy.com,Alchemy Platform,82,at_risk,general,16,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Modern CDN | Business Email Provider | Web Application Firewall,98,Enterprise,Actively Shipping | Moderate Infrastructure Footprint | Public Status Page Active,92,Enterprise,Active Advertising,99,Enterprise,Verified Vendor Spend | SOC 2 Compliance | Basic Trust Center,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=alchemy.com
chilipiper.com,Chilipiper,82,at_risk,general,18,100,Enterprise,Active,Verified SaaS Tooling | Enterprise CDN/WAF | DMARC Quarantine | Business Email Provider,97,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,94,Enterprise,Active Advertising | Rich Third-Party Integration,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=chilipiper.com
doss.com,Doss,82,at_risk,general,15,92,Enterprise,Active,Verified SaaS Tooling | Modern CDN | Business Email Provider,80,Enterprise,Moderate Infrastructure Footprint,97,Enterprise,Recent Funding (External Intel) | Active Advertising | Funding Velocity,90,Enterprise,Verified Vendor Spend,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=doss.com
elite.com,Elite,82,at_risk,general,15,100,Enterprise,Active,Verified SaaS Tooling | Enterprise CDN/WAF | DMARC Quarantine | Business Email Provider,88,Enterprise,Moderate Infrastructure Footprint,92,Enterprise,Active Advertising,99,Enterprise,ATS Integration Verified | Verified Vendor Spend | SOC 2 Compliance | Basic Trust Center,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=elite.com
steadily.com,Steadily,82,at_risk,general,14,100,Enterprise,Active,Verified SaaS Tooling | DMARC Quarantine | Modern CDN | Business Email Provider | Web Application Firewall,88,Enterprise,Moderate Infrastructure Footprint,100,Enterprise,Active Advertising | Growth Analytics Stack,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=steadily.com
addi.com,Addi,82,at_risk,general,15,95,Enterprise,Active,DMARC Quarantine | Modern CDN | Business Email Provider | Web Application Firewall,88,Enterprise,Moderate Infrastructure Footprint,77,Enterprise,VC/Accelerator Mention (yc),98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=addi.com
gladia.io,Gladia,82,at_risk,general,19,100,Enterprise,Active,Verified SaaS Tooling | DMARC Quarantine | Modern CDN | Business Email Provider | Web Application Firewall,95,Enterprise,Mature Engineering Infrastructure | Moderate Infrastructure Footprint | Public Status Page Active,94,Enterprise,Active Advertising | Rich Third-Party Integration,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance | HIPAA Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=gladia.io
aiven.io,Aiven,82,at_risk,cloud_infra,16,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Modern CDN | Business Email Provider,99,Enterprise,High Shipping Velocity | Mature Engineering Infrastructure | Moderate Infrastructure Footprint | Public Status Page Active,96,Enterprise,Premium SaaS Stack | Active Advertising,90,Enterprise,Verified Vendor Spend,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=aiven.io
haus.io,Haus,82,at_risk,general,18,100,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,98,Enterprise,App Recently Updated | SSO Infrastructure Detected | Moderate Infrastructure Footprint | Public Status Page Active,94,Enterprise,Active Advertising | Rich Third-Party Integration,99,Enterprise,Verified Vendor Spend | SOC 2 Compliance | Basic Trust Center,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=haus.io
